Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,offensive-rebounding-pct,total-rebounding-percentage,three-point-pct,opponent-shooting-pct,Class,R64,R32,S16,E8,FF,CG,
2017,Ball State,70.83,50,104.729,163,105.2,185,-0.471208,176,0, 26.3,51.0,37.6,42.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Baylor,63.0844,337,117.289,22,92.281,14,25.0078,13,3, 38.4,56.0,35.3,39.8,S16,YES,YES,YES,NO,NO,NO,
2017,Belmont,67.9084,186,110.428,67,102.825,137,7.60241,85,0, 24.3,51.4,33.7,43.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Beth-Cook,68.1729,170,95.0609,325,115.271,335,-20.21,340,0, 28.9,46.6,32.3,47.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Binghamton,65.8573,273,96.203,314,109.887,281,-13.684,312,0, 21.8,47.6,34.4,45.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,Boise State,69.3293,98,109.629,79,103.12,142,6.50858,95,0, 25.5,51.0,35.6,43.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Boston Col,71.0404,43,104.325,172,103.904,163,0.421257,160,0, 23.5,50.2,37.4,47.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Boston U,69.5645,90,101.362,227,103.444,157,-2.08188,193,0, 26.4,49.8,35.3,42.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Bowling Grn,69.8834,81,100.034,255,107.242,225,-7.20801,248,0, 25.7,48.7,34.1,46.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Bradley,67.522,204,98.3675,284,102.673,130,-4.30575,215,0, 24.2,49.4,35.3,42.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Brown,71.1135,42,104.083,179,113.905,324,-9.82258,277,0, 22.4,47.6,35.6,50.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Bryant,69.0033,109,101.615,224,111.995,306,-10.3794,281,0, 26.3,49.2,33.8,45.3,DNQ,NO,NO,NO,NO,NO,NO,
2017,Bucknell,69.6888,87,109.074,86,100.358,89,8.71601,80,13, 25.8,50.8,37.7,42.5,R64,YES,NO,NO,NO,NO,NO,
2017,Buffalo,71.2767,35,105.274,156,102.162,118,3.11189,128,0, 31.2,52.5,33.0,42.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Butler,65.3305,294,117.971,17,97.0613,49,20.9097,26,4, 26.2,50.6,36.3,44.4,S16,YES,YES,YES,NO,NO,NO,
2017,BYU,75.3079,4,109.066,87,99.3826,72,9.68343,74,0, 27.2,53.4,34.4,41.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Cal Poly,65.2888,297,99.833,256,113.011,318,-13.1776,307,0, 23.6,46.1,33.5,47.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,CS Bakersfld,66.2841,260,97.9547,290,93.4228,20,4.53188,115,0, 31.6,51.4,32.2,37.3,DNQ,NO,NO,NO,NO,NO,NO,
2017,CS Fullerton,68.4557,147,96.9018,304,105.447,191,-8.54552,262,0, 27.1,51.2,31.2,44.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Cal St Nrdge,72.6328,18,104.006,180,114.6,333,-10.5935,284,0, 25.1,48.3,33.7,46.3,DNQ,NO,NO,NO,NO,NO,NO,
2017,California,65.3239,295,104.846,159,92.1302,13,12.7162,58,0, 30.5,55.0,34.0,39.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Campbell,65.4274,289,99.2588,265,110.616,293,-11.3574,291,0, 22.2,48.2,35.1,44.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Canisius,69.5641,92,108.35,102,109.976,284,-1.62597,191,0, 28.3,48.3,37.4,48.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,Central Ark,70.9455,46,103.984,181,117.489,344,-13.5046,311,0, 25.7,48.8,37.5,46.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,Central Conn,64.8126,308,92.8567,335,113.944,325,-21.0873,341,0, 29.5,48.5,34.9,46.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Central Mich,75.2279,5,111.557,56,117.582,345,-6.02561,230,0, 24.7,46.3,36.4,47.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Charl South,68.1431,174,103.253,192,116.656,341,-13.403,309,0, 24.7,48.4,33.3,47.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Charlotte,72.6471,17,103.102,195,109.384,268,-6.28251,235,0, 18.1,44.6,37.5,46.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Chattanooga,65.3898,291,106.657,131,102.069,116,4.5883,113,0, 28.0,48.7,33.1,45.4,DNQ,NO,NO,NO,NO,NO,NO,
2017,Chicago St,66.9857,228,91.9076,340,111.286,302,-19.3781,336,0, 24.5,45.9,30.4,46.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Cincinnati,63.7687,327,114.215,35,91.8982,10,22.3165,22,6, 34.5,53.3,35.0,38.2,R32,YES,YES,NO,NO,NO,NO,
2017,Citadel,79.6777,2,105.592,147,116.334,340,-10.7417,286,0, 25.5,44.5,33.9,51.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Clemson,66.2751,261,115.903,30,100.015,84,15.8878,35,0, 30.0,49.5,35.7,45.4,DNQ,NO,NO,NO,NO,NO,NO,
2017,Cleveland St,65.3167,296,96.3652,312,103.174,145,-6.80863,243,0, 27.1,46.7,30.7,45.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Coastal Car,67.8916,188,102.466,212,105.253,187,-2.78741,200,0, 27.1,51.1,33.4,42.3,DNQ,NO,NO,NO,NO,NO,NO,
2017,Colgate,64.9715,302,98.5384,279,107.668,229,-9.13005,269,0, 23.3,49.6,36.1,45.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Col Charlestn,64.1382,319,105.854,146,98.3449,62,7.50912,86,0, 22.8,49.1,33.4,42.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Colorado,67.6559,200,111.929,52,101.718,107,10.2105,72,0, 30.9,52.2,35.4,43.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Colorado St,66.0585,269,108.324,103,99.846,79,8.47805,81,0, 30.5,51.6,34.5,40.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Columbia,68.7622,124,100.985,235,107.18,222,-6.1952,232,0, 25.6,48.0,36.1,43.9,DNQ,NO,NO,NO,NO,NO,NO,
